 5100   X   Y
   -1.9575461E+00  4.9850793E-02
   -1.8740248E+00  4.9381801E-02
   -1.7933949E+00  4.8617777E-02
   -1.7154941E+00  4.7544911E-02
   -1.6403370E+00  4.6331527E-02
   -1.5679129E+00  4.5062137E-02
   -1.4979884E+00  4.3565600E-02
   -1.4306278E+00  4.2067079E-02
   -1.3655597E+00  4.0404333E-02
   -1.3027274E+00  3.8621256E-02
   -1.2423083E+00  3.6950758E-02
   -1.1842297E+00  3.5403203E-02
   -1.1286761E+00  3.4116854E-02
   -1.0755410E+00  3.3050759E-02
   -1.0242536E+00  3.1966998E-02
   -1.9586583E+00  1.5146321E-01
   -1.8770103E+00  1.4988524E-01
   -1.7976778E+00  1.4727071E-01
   -1.7207514E+00  1.4414584E-01
   -1.6462498E+00  1.4069871E-01
   -1.5740995E+00  1.3694735E-01
   -1.5039973E+00  1.3259947E-01
   -1.4359853E+00  1.2791829E-01
   -1.3697856E+00  1.2277024E-01
   -1.3054436E+00  1.1732461E-01
   -1.2433185E+00  1.1198817E-01
   -1.1836604E+00  1.0706803E-01
   -1.1266548E+00  1.0274918E-01
   -1.0725754E+00  9.9082426E-02
   -1.0207201E+00  9.5769937E-02
   -1.9591208E+00  2.5693482E-01
   -1.8782671E+00  2.5403482E-01
   -1.7996203E+00  2.4951601E-01
   -1.7234261E+00  2.4435591E-01
   -1.6493706E+00  2.3857116E-01
   -1.5771777E+00  2.3192191E-01
   -1.5066949E+00  2.2436034E-01
   -1.4379568E+00  2.1617835E-01
   -1.3709243E+00  2.0750750E-01
   -1.3054866E+00  1.9840914E-01
   -1.2417552E+00  1.8905060E-01
   -1.1803861E+00  1.8014518E-01
   -1.1217896E+00  1.7228533E-01
   -1.0661142E+00  1.6538983E-01
   -1.0131390E+00  1.5927518E-01
   -1.9590481E+00  3.6619157E-01
   -1.8785245E+00  3.6189465E-01
   -1.8003350E+00  3.5571705E-01
   -1.7240599E+00  3.4789319E-01
   -1.6497696E+00  3.3919025E-01
   -1.5767376E+00  3.2877434E-01
   -1.5050584E+00  3.1699965E-01
   -1.4354233E+00  3.0504378E-01
   -1.3677103E+00  2.9307260E-01
   -1.3013708E+00  2.8036063E-01
   -1.2364644E+00  2.6699204E-01
   -1.1738551E+00  2.5433702E-01
   -1.1138798E+00  2.4272272E-01
   -1.0565160E+00  2.3205094E-01
   -1.0019379E+00  2.2247820E-01
   -1.9589331E+00  4.7996486E-01
   -1.8782857E+00  4.7386977E-01
   -1.7998872E+00  4.6552056E-01
   -1.7230953E+00  4.5486074E-01
   -1.6480050E+00  4.4263411E-01
   -1.5741118E+00  4.2842890E-01
   -1.5014874E+00  4.1262609E-01
   -1.4305107E+00  3.9625079E-01
   -1.3611791E+00  3.7968585E-01
   -1.2934247E+00  3.6276781E-01
   -1.2273651E+00  3.4540761E-01
   -1.1637018E+00  3.2900038E-01
   -1.1023082E+00  3.1355169E-01
   -1.0433096E+00  2.9873651E-01
   -9.8718685E-01  2.8522860E-01
   -1.9586731E+00  5.9813979E-01
   -1.8775219E+00  5.9012165E-01
   -1.7985645E+00  5.7944558E-01
   -1.7209918E+00  5.6558615E-01
   -1.6447947E+00  5.4941005E-01
   -1.5700443E+00  5.3142303E-01
   -1.4963281E+00  5.1134759E-01
   -1.4233889E+00  4.8952202E-01
   -1.3518126E+00  4.6723441E-01
   -1.2821314E+00  4.4525731E-01
   -1.2145156E+00  4.2367703E-01
   -1.1496025E+00  4.0343688E-01
   -1.0871852E+00  3.8434139E-01
   -1.0265092E+00  3.6508270E-01
   -9.6852350E-01  3.4699818E-01
   -1.9583493E+00  7.2114904E-01
   -1.8764445E+00  7.1107397E-01
   -1.7963898E+00  6.9737100E-01
   -1.7174449E+00  6.7944541E-01
   -1.6398700E+00  6.5885438E-01
   -1.5634260E+00  6.3586744E-01
   -1.4875192E+00  6.1000634E-01
   -1.4128189E+00  5.8293950E-01
   -1.3398716E+00  5.5587994E-01
   -1.2685774E+00  5.2887171E-01
   -1.1993754E+00  5.0285740E-01
   -1.1326259E+00  4.7806672E-01
   -1.0685646E+00  4.5443858E-01
   -1.0064511E+00  4.3084648E-01
   -9.4649961E-01  4.0788595E-01
   -1.9579333E+00  8.4918351E-01
   -1.8748077E+00  8.3638819E-01
   -1.7931227E+00  8.1865939E-01
   -1.7124505E+00  7.9598010E-01
   -1.6327907E+00  7.6974338E-01
   -1.5539205E+00  7.4043711E-01
   -1.4760142E+00  7.0881708E-01
   -1.3996384E+00  6.7668497E-01
   -1.3251686E+00  6.4476736E-01
   -1.2524025E+00  6.1301857E-01
   -1.1814413E+00  5.8206877E-01
   -1.1126039E+00  5.5197069E-01
   -1.0461610E+00  5.2288216E-01
   -9.8252406E-01  4.9485991E-01
   -9.2100023E-01  4.6740700E-01
   -1.9570566E+00  9.8175689E-01
   -1.8720250E+00  9.6511239E-01
   -1.7881356E+00  9.4210701E-01
   -1.7049171E+00  9.1307821E-01
   -1.6225841E+00  8.8003957E-01
   -1.5410989E+00  8.4393402E-01
   -1.4610784E+00  8.0632156E-01
   -1.3829135E+00  7.6886649E-01
   -1.3063904E+00  7.3151603E-01
   -1.2317842E+00  6.9471403E-01
   -1.1590225E+00  6.5871078E-01
   -1.0881952E+00  6.2329981E-01
   -1.0197857E+00  5.8894658E-01
   -9.5404041E-01  5.5589005E-01
   -8.9107615E-01  5.2424024E-01
   -1.9558695E+00  1.1190806E+00
   -1.8678939E+00  1.0965144E+00
   -1.7805626E+00  1.0658869E+00
   -1.6939125E+00  1.0289607E+00
